ingred_desc,ingred_code,simple_name,label
"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",20080,Whole wheat flour,1
"Pineapple, canned, water pack, solids and liquids",9267,Gold (golden) pineapple,1
"Potatoes, baked, flesh, without salt",11363,Steamed russet potato flesh only,1
"Pickle relish, sweet",11945,Pickles,1
"Chicken, broiler, rotisserie, BBQ, drumstick, meat only",5319,Chicken breast,1
"Parsley, fresh",11297,Parsley,1
"Sweet potato, cooked, baked in skin, flesh, without salt",11508,Steamed whole sweet potato,1
"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",11038,Lima Beans,1
"Cauliflower, raw",11135,Steamed Cauliflower florets and stalk,1
"Seeds, sunflower seed kernels, dry roasted, without salt",12037,Sunflower seeds,1
"Asparagus, raw",11011,Frozen Whole Baby Asparagus,1
"Blueberries, raw",9050,Whole blueberry,1
"Peppers, sweet, green, cooked, boiled, drained, without salt",11334,Steamed whole green bell pepper w/o seed,1
"Nuts, cashew nuts, dry roasted, without salt added",12085,Cashew,1
"Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",13893,Beef round tip steak,1
"Peanuts, all types, raw",16087,Peanuts,1
"Peanuts, all types, dry-roasted, with salt",16090,Peanuts,1
"Egg, whole, cooked, hard-boiled",1129,Whole brown egg,1
"Beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned",23570,Beef round tip steak,1
"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",23575,Beef round tip steak,1
"Butter, whipped, with salt",1002,Unsalted butter,1
"Yogurt, plain, whole milk",1116,Yogurt,1
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",9016,Apple juice,1
"Apricots, raw",9021,Whole apricot,1
"Blackberries, raw",9042,Whole blackberry,1
"Grapes, red or green (European type, such as Thompson seedless), raw",9132,Red seedless grape,1
"Peaches, yellow, raw",9236,Whole yellow peach (Prima Farms),1
"Raspberries, raw",9302,Whole raspberry,1
"Strawberries, raw",9316,Whole strawberry,1
"Blueberries, frozen, unsweetened",9054,Frozen whole blueberry,1
"Pears, raw",9252,Whole Bartlett pear w/o seed,1
"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",16057,Canned garbanzo beans,1
"Turkey, all classes, light meat, cooked, roasted",5186,ground turkey,1
"Onions, cooked, boiled, drained, without salt",11283,Onion,1
"Squash, summer, all varieties, cooked, boiled, drained, without salt",11642,Steamed yellow neck squash,1
"Cheese, cottage, lowfat, 2% milkfat",1015,Cottage cheese,1
"Pineapple, raw, all varieties",9266,Gold (golden) pineapple,1
"Seaweed, laver, raw",11446,Roasted seaweed,1
"Beverages, coffee, brewed, espresso, restaurant-prepared",14210,brewed coffee,1
"Soy sauce made from soy and wheat (shoyu), low sodium",16424,Soy sauce,1
"Syrups, maple",19353,Maple syrup,1
"Oat bran, raw",20033,cooked oat bran,1
"Rice, white, glutinous, unenriched, cooked",20055,Enriched long white rice (Mahatma),1
"Cherries, sweet, raw",9070,Whole sweet cherry,1
"Grapefruit, raw, pink and red, all areas",9112,Deep red grapefruit,1
"Lime juice, raw",9160,Lime juice,1
"Melons, cantaloupe, raw",9181,Cantaloupe melon,1
"Beans, great northern, mature seeds, canned",16026,Great Northern Beans,1
"Butter, without salt",1145,Unsalted butter,1
"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",11093,Frozen broccoli florets,1
"Carrots, frozen, cooked, boiled, drained, without salt",11131,Steamed whole carrots,1
"Squash, summer, crookneck and straightneck, raw",11467,Steamed yellow neck squash,1
"Squash, summer, zucchini, includes skin, raw",11477,Steamed green zuchini,1
"Cheese, cream",1017,cream cheese,1
"Bacon, turkey, microwaved",7973,ground turkey,1
"Cranberry sauce, canned, sweetened",9081,Cranberry,1
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",9400,Apple juice,1
"Beans, snap, green, frozen, cooked, boiled, drained without salt",11061,Frozen whole green beans,1
"Sugars, powdered",19336,Table sugar,1
"Plums, raw",9279,Whole red plum,1
"Peanuts, all types, dry-roasted, without salt",16390,Peanuts,1
"Turkey from whole, light meat, meat only, with added solution, cooked, roasted",5697,ground turkey,1
"Tangerines, (mandarin oranges), canned, juice pack",9219,Pixie tangerine,1
"Spinach, raw",11457,Spinach leaves,1
"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",13424,Beef round tip steak,1
"Barley, pearled, cooked",20006,Whole grain pearl barley,1
"Butter oil, anhydrous",1003,Unsalted butter,1
"Salad dressing, mayonnaise, light",4641,Mayonnaise,1
"Snacks, popcorn, cheese-flavor",19040,Popcorn,1
"Peppers, sweet, red, raw",11821,Steamed whole red bell pepper w/o seed,1
"Mustard greens, raw",11270,Steamed Curely mustard greens,1
"Beverages, almond milk, unsweetened, shelf stable",14091,Unsweetened almond milk,1
"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",14171,coconut milk,1
"Crustaceans, shrimp, mixed species, cooked, moist heat (may have been previously frozen)",15151,Shrimp,1
Soy sauce made from soy and wheat (shoyu),16123,Soy sauce,1
"Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)",16127,Soft Silken Tofu,1
"Beans, snap, green, raw",11052,Steamed Green beans,1
"Mushrooms, white, cooked, boiled, drained, without salt",11261,Steamed whole white mushrooms,1
"Sweet potato, cooked, boiled, without skin",11510,Steamed whole sweet potato,1
"Orange juice, raw",9206,Pulp free orange juice,1
"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",11179,Frozen Golden Corn Kernels (Siganture Select),1
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt",16063,Black-eyed Peas,1
"Turkey, whole, meat only, cooked, roasted",5168,ground turkey,1
"Turkey, whole, meat only, with added solution, roasted",5705,ground turkey,1
"Carrots, cooked, boiled, drained, without salt",11125,Steamed whole carrots,1
"Beverages, PEPSICO QUAKER, Gatorade, G performance O 2, ready-to-drink.",14460,Gatorade,1
"Cabbage, cooked, boiled, drained, without salt",11110,Purple cabbage,1
"Cauliflower, frozen, cooked, boiled, drained, without salt",11138,Steamed Cauliflower florets and stalk,1
"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",11474,Steamed yellow neck squash,1
"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",11480,Steamed green zuchini,1
"Seeds, pumpkin and squash seed kernels, roasted, without salt",12016,Pumpkin seeds,1
"Nuts, almonds, dry roasted, without salt added",12063,roasted almonds,1
"Nuts, brazilnuts, dried, unblanched",12078,Brazil nuts,1
"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",12117,coconut milk,1
"Nuts, pistachio nuts, dry roasted, without salt added",12152,Pistachio (Fiddyment Farm),1
"Lentils, mature seeds, cooked, boiled, without salt",16070,Whole grain brown lentils,1
"Collards, raw",11161,Steamed Collard greens leaves and stalk,1
"Peas, split, mature seeds, cooked, boiled, without salt",16086,Green split peas,1
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled",23610,Beef round tip steak,1
"Yogurt, plain, low fat",1117,Yogurt,1
"Tomato products, canned, puree, with salt added",11888,Hunt's Tomato sauce,1
"Beans, kidney, red, mature seeds, cooked, boiled, without salt",16033,Canned Kidney beans,1
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",23369,Beef round tip steak,1
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, raw",23339,Beef round tip steak,1
"Melons, honeydew, raw",9184,Honeydew melon,1
"Lettuce, red leaf, raw",11257,Romaine lettuce,1
"Okra, frozen, cooked, boiled, drained, without salt",11281,Frozen whole okra,1
"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",13865,Beef round tip steak,1
"Beef, ground, 75% lean meat / 25% fat, crumbles, cooked, pan-browned",23580,Beef round tip steak,1
"Strawberries, frozen, unsweetened",9318,Whole strawberry,1
"Tangerines, (mandarin oranges), raw",9218,Pixie tangerine,1
"Snacks, banana chips",19400,Banana chips,1
"Turkey, dark meat, meat only, with added solution, cooked, roasted",5695,ground turkey,1
"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",11464,Frozen Chopped Spinach (Green Giant),1
"Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)",15149,Shrimp,1
"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",23354,Beef round tip steak,1
"Beans, black turtle, mature seeds, cooked, boiled, without salt",16017,Canned black beans (S&W),1
"Cauliflower, cooked, boiled, drained, without salt",11136,Steamed Cauliflower florets and stalk,1
"Peppers, sweet, red, cooked, boiled, drained, without salt",11823,Steamed whole red bell pepper w/o seed,1
"Nuts, almonds, blanched",12062,roasted almonds,1
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",16056,Canned garbanzo beans,1
"Applesauce, canned, sweetened, without salt",9020,Original apple sauce (Tree top),1
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",23357,Beef round tip steak,1
"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",23327,Beef round tip steak,1
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",23360,Beef round tip steak,1
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",5671,Chicken breast,1
"Chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised",5672,Chicken breast,1
"Turkey, all classes, wing, meat and skin, cooked, roasted",5196,ground turkey,1
"Turkey, wing, from whole bird, meat only, with added solution, roasted",5730,ground turkey,1
"Beef, cured, breakfast strips, cooked",13345,Beef round tip steak,1
"Nuts, macadamia nuts, dry roasted, with salt added",12632,Macadamia (Sunfood Superfood),1
"Grapefruit, sections, canned, water pack, solids and liquids",9119,Deep red grapefruit,1
"Brussels sprouts, raw",11098,Steamed Whole brussel sprouts,1
"Cocoa, dry powder, unsweetened, processed with alkali",19166,Cocoa powder,1
"Beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinated",14202,brewed coffee,1
"Crustaceans, shrimp, mixed species, canned",15152,Shrimp,1
"Alfalfa seeds, sprouted, raw",11001,alfalfa,1
"Turkey, whole, meat only, raw",5167,ground turkey,1
"Chives, raw",11156,chives,1
"Beef, ground, 95% lean meat / 5% fat, raw",23557,Beef round tip steak,1
"Beef, ground, 90% lean meat / 10% fat, raw",23562,Beef round tip steak,1
"Beef, ground, 80% lean meat / 20% fat, raw",23572,Beef round tip steak,1
"Beef, ground, 75% lean meat / 25% fat, raw",23577,Beef round tip steak,1
"Beets, raw",11080,"Peeled, steamed beetroot",1
"Carrot juice, canned",11655,Carrot juice,1
"Frankfurter, turkey",7025,ground turkey,1
"Nectarines, raw",9191,Whole yellow nectarine,1
"Watermelon, raw",9326,Seedless watermelon,1
"Okra, cooked, boiled, drained, without salt",11279,Frozen whole okra,1
"Plums, dried (prunes), stewed, without added sugar",9292,Unsweetened pitted prunes,1
"Turkey, thigh, from whole bird, meat only, with added solution, roasted",5728,ground turkey,1
"Turkey, thigh, from whole bird, meat only, roasted",5741,ground turkey,1
"Milk, chocolate, fat free, with added vitamin A and vitamin D",1292,Lowfat chocolate milk,1
"Kiwifruit, green, raw",9148,Kiwi,1
"Lettuce, cos or romaine, raw",11251,Romaine lettuce,1
"Seeds, pumpkin and squash seed kernels, dried",12014,Pumpkin seeds,1
"Lima beans, large, mature seeds, cooked, boiled, without salt",16072,Lima Beans,1
"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",11732,Frozen whole green beans,1
"Collards, cooked, boiled, drained, without salt",11162,Steamed Collard greens leaves and stalk,1
"Kale, cooked, boiled, drained, without salt",11234,Kale,1
"Pumpkin, cooked, boiled, drained, without salt",11423,canned pumpkin,1
"Seeds, flaxseed",12220,Golden flaxseed,1
"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, choice, raw",23616,Beef round tip steak,1
"Beans, snap, green, cooked, boiled, drained, without salt",11053,Steamed Green beans,1
"Cherries, sour, red, canned, water pack, solids and liquids",9064,Whole sweet cherry,1
"Artichokes, (globe or french), cooked, boiled, drained, without salt",11008,Canned Artichoke hearts,1
"Spinach, cooked, boiled, drained, without salt",11458,Spinach leaves,1
"Squash, winter, all varieties, cooked, baked, without salt",11644,Steamed butternut squash,1
"Wild rice, raw",20088,Wild blend rice,1
"Kale, raw",11233,Kale,1
"Mushrooms, shiitake, cooked, without salt",11269,Steamed whole shiitake mushrooms,1
"Seaweed, kelp, raw",11445,Roasted seaweed,1
"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",11911,Frozen Golden Corn Kernels (Siganture Select),1
"Turkey, whole, neck, meat only, cooked, simmered",5180,ground turkey,1
"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",11196,Black-eyed Peas,1
"Sausage, meatless",16107,beyond sausage,1
"Apricots, dried, sulfured, uncooked",9032,Dried apricots,1
"Mango, dried, sweetened",9178,Freeze dried mango flesh,1
"Bulgur, dry",20012,Red whole grain bulgur,1
"Beverages, Wine, non-alcoholic",14553,Cabernet Sauvignon wine,1
"Chard, swiss, cooked, boiled, drained, without salt",11148,Steamed Red chard leaves and stalk (Cal-Organic),1
"Seaweed, agar, dried",11663,Roasted seaweed,1
"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",13892,Beef round tip steak,1
"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",9074,Whole sweet cherry,1
"Pumpkin, canned, without salt",11424,canned pumpkin,1
"Sour cream, light",1179,Sour cream,1
"Beans, pinto, mature seeds, raw",16042,Canned low sodium pinto bean,1
"Papayas, raw",9226,Tai nung papaya,1
"Basil, fresh",2044,Basil,1
"Nuts, pine nuts, dried",12147,Pine nut,1
"Asparagus, canned, drained solids",11015,Frozen Whole Baby Asparagus,1
"Beverages, ABBOTT, EAS soy protein powder",14035,Protein powder,1
"Dates, deglet noor",9087,Dates,1
"Okra, raw",11278,Frozen whole okra,1
"Chicken, broilers or fryers, breast, skinless, boneless, meat only, with added solution, raw",5314,Chicken breast,1
"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",11192,Black-eyed Peas,1
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled",23629,Beef round tip steak,1
"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw",13864,Beef round tip steak,1
"Cheese, pasteurized process, American, fortified with vitamin D",1042,American Cheese,1
"Peanuts, all types, oil-roasted, with salt",16089,Peanuts,1
"Chicken, broilers or fryers, meat only, stewed",5014,Chicken breast,1
"Beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked",23581,Beef round tip steak,1
"Marmalade, orange",19303,Orange jam (Bonne Maman),1
"Broccoli, frozen, chopped, unprepared",11092,Frozen broccoli florets,1
"Cauliflower, frozen, unprepared",11137,Steamed Cauliflower florets and stalk,1
"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared",11178,Frozen Golden Corn Kernels (Siganture Select),1
"Peppers, sweet, red, frozen, chopped, unprepared",11917,Steamed whole red bell pepper w/o seed,1
"Wild rice, cooked",20089,Wild blend rice,1
"Mangos, raw",9176,Yellow mango,1
"Beverages, ABBOTT, EAS whey protein powder",14033,Protein powder,1
"Yambean (jicama), raw",11603,Jicama,1
"Couscous, cooked",20029,Toasted Pearl couscous,1
"Turkey, all classes, leg, meat and skin, cooked, roasted",5194,ground turkey,1
"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",11044,Bean Sprouts,1
"Eggplant, cooked, boiled, drained, without salt",11210,Eggplant,1
"Sweet potato, canned, vacuum pack",11512,Steamed whole sweet potato,1
"Turkey, whole, light meat, meat and skin, cooked, roasted",5182,ground turkey,1
"Turkey from whole, light meat, meat and skin, with added solution, cooked, roasted",5703,ground turkey,1
"Soup, chicken broth, canned, condensed",6013,Low sodium chicken broth,1
"Brussels sprouts, frozen, cooked, boiled, drained, without salt",11101,Steamed Whole brussel sprouts,1
"Rice, white, long-grain, regular, cooked, enriched, with salt",20345,Enriched long white rice (Mahatma),1
"Rice noodles, cooked",20134,Stir fry rice noodle,1
"Peanuts, all types, oil-roasted, without salt",16389,Peanuts,1
"Chicken, broilers or fryers, light meat, meat only, cooked, stewed",5042,Chicken breast,1
"Eggplant, raw",11209,Eggplant,1
"Soy flour, full-fat, raw",16115,Soy flour,1
"Pork, cured, salt pork, raw",10165,ground pork,1
"Limes, raw",9159,Lime juice,1
"Celery, cooked, boiled, drained, without salt",11144,Steamed Celery stalk,1
"Butter, light, stick, with salt",4601,Unsalted butter,1
"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",11471,Steamed yellow neck squash,1
"Cheese spread, cream cheese base",43276,cream cheese,1
"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",11507,Steamed whole sweet potato,1
"Beverages, Protein powder soy based",14067,Protein powder,1
"Pork, fresh, ground, cooked",10220,ground pork,1
"Bacon, meatless",16104,plant based bacon strip,1
"Blueberries, frozen, sweetened",9055,Frozen whole blueberry,1
"Beverages, coffee, instant, regular, half the caffeine",14203,brewed coffee,1
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",13068,Beef round tip steak,1
"Cheese, mozzarella, whole milk",1026,Low Moisture part Skim Mozarella cheese,1
"Chicken, broilers or fryers, breast, meat only, cooked, roasted",5064,Chicken breast,1
"Wheat flour, white, all-purpose, unenriched",20481,All purpose flour,1
"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",13886,Beef round tip steak,1
"Rice, white, long-grain, regular, unenriched, cooked without salt",20445,Enriched long white rice (Mahatma),1
"Lime juice, canned or bottled, unsweetened",9161,Lime juice,1
"Lima beans, immature seeds, cooked, boiled, drained, without salt",11032,Lima Beans,1
"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",13888,Beef round tip steak,1
"Blueberries, canned, heavy syrup, solids and liquids",9052,Whole blueberry,1
"Pomegranates, raw",9286,Pomegranate w/ seeds,1
"Turkey, drumstick, from whole bird, meat only, with added solution, roasted",5725,ground turkey,1
"Turkey, drumstick, from whole bird, meat only, roasted",5739,ground turkey,1
"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",19860,Cocoa powder,1
"Sour cream, reduced fat",1178,Sour cream,1
"Bulgur, cooked",20013,Red whole grain bulgur,1
Soy protein isolate,16122,Protein powder,1
"Cherries, sweet, canned, water pack, solids and liquids",9071,Whole sweet cherry,1
"Turkey, light or dark meat, smoked, cooked, skin and bone removed",43391,ground turkey,1
"Turkey, light or dark meat, smoked, cooked, with skin, bone removed",43390,ground turkey,1
"Asparagus, cooked, boiled, drained",11012,Frozen Whole Baby Asparagus,1
"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",11010,Canned Artichoke hearts,1
"Asparagus, frozen, cooked, boiled, drained, without salt",11019,Frozen Whole Baby Asparagus,1
"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",11493,Steamed spaghetti squash,1
"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",13884,Beef round tip steak,1
"Seaweed, spirulina, dried",11667,Roasted seaweed,1
"Cheese, pasteurized process, cheddar or American, low sodium",43398,American Cheese,1
"Grapefruit, sections, canned, light syrup pack, solids and liquids",9121,Deep red grapefruit,1
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",1174,Whole milk,1
"Egg, whole, cooked, fried",1128,Whole brown egg,1
"Turkey, whole, dark meat, cooked, roasted",5188,ground turkey,1
"Arugula, raw",11959,arugula,1
"Beans, kidney, all types, mature seeds, cooked, boiled, without salt",16028,Canned Kidney beans,1
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",1211,Whole milk,1
"Apricots, dried, sulfured, stewed, without added sugar",9033,Dried apricots,1
"Chicken, cornish game hens, meat only, cooked, roasted",5310,Chicken breast,1
"Chard, swiss, raw",11147,Steamed Red chard leaves and stalk (Cal-Organic),1
"Turkey, whole, wing, meat only, cooked, roasted",5228,ground turkey,1
"Cherries, sweet, canned, juice pack, solids and liquids",9072,Whole sweet cherry,1
"Turkey, wing, smoked, cooked, with skin, bone removed",43366,ground turkey,1
"Snacks, popcorn, cakes",19036,Popcorn,1
"Turkey, whole, meat and skin, cooked, roasted",5166,ground turkey,1
"Turkey, whole, meat and skin, with added solution, roasted",5707,ground turkey,1
"Beans, black, mature seeds, raw",16014,Canned black beans (S&W),1
"Turkey, whole, giblets, cooked, simmered",5172,ground turkey,1
"Mustard greens, cooked, boiled, drained, without salt",11271,Steamed Curely mustard greens,1
"Cauliflower, green, cooked, no salt added",11967,Steamed Cauliflower florets and stalk,1
"Peanuts, all types, cooked, boiled, with salt",16088,Peanuts,1
"Tangerines, (mandarin oranges), canned, juice pack, drained",9383,Pixie tangerine,1
"Cherries, sour, red, frozen, unsweetened",9068,Whole sweet cherry,1
"Brussels sprouts, cooked, boiled, drained, without salt",11099,Steamed Whole brussel sprouts,1
"Nuts, almond butter, plain, with salt added",12695,Almond Butter (Justin's),1
"Grapefruit, raw, pink and red and white, all areas",9111,Deep red grapefruit,1
"Turkey, dark meat from whole, meat and skin, with added solution, cooked, roasted",5701,ground turkey,1
"Kale, frozen, cooked, boiled, drained, without salt",11236,Kale,1
"Cheese, low-sodium, cheddar or colby",1169,Sharp Chedder Cheese,1
